lambd,mu,d1,d2,network_type,grid_preference,grid_radius,both_affected,polarization,network_influence
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.6848677331519711,1,0.0904770931228995,2,0,0.855602709603319,1.0596080247589101
0.0670000975951552,0.7010708237066865,0.0203930028989091,0.6848677331519711,1,0.0904770931228995,2,0,0.7958684321483154,1.0898447593941831
0.3734912136569619,0.0537614123895764,0.0203930028989091,0.6848677331519711,1,0.0904770931228995,2,0,0.8522261134636866,1.0377830789851352
0.3734912136569619,0.7010708237066865,1.294724732521779,1.4142135623730951,1,0.0904770931228995,2,0,1.2392040067800085,0.8804411122064911
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.2512672869187931,1,0.0904770931228995,2,0,0.8580713625186407,0.9019433942294589
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.6848677331519711,3,0.0904770931228995,2,0,0.8596528629478836,0.9689550022306429
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.6848677331519711,1,0.1881238324567675,2,0,0.8616527609148749,0.9874976366469369
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.6848677331519711,1,0.0904770931228995,2,0,0.833037584205466,1.1553564550769089
0.3734912136569619,0.7010708237066865,0.0203930028989091,0.6848677331519711,1,0.0904770931228995,2,0,0.8367195762287615,0.9520625510741035
0.0670000975951552,0.0537614123895764,1.294724732521779,1.4142135623730951,3,0.1881238324567675,2,0,0.9736187902548762,1.0019222754030666
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.3223323736797774,2,0.7910600220784545,1,1,1.0780312529076828,1.1414403185371114
0.6767774634063244,0.3040382014587521,1.0658200787341086,1.3223323736797774,2,0.7910600220784545,1,1,1.0208358021341133,1.1660769547809795
0.8818757515400648,0.9322544131428004,1.0658200787341086,1.3223323736797774,2,0.7910600220784545,1,1,1.44326867678057,1.0342375745558448
0.8818757515400648,0.3040382014587521,0.0416854814482244,1.3223323736797774,2,0.7910600220784545,1,1,0.31112043278064266,0.9795858327500523
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.399573506831336,2,0.7910600220784545,1,1,1.1131721301172597,1.1683142167298326
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.3223323736797774,1,0.7910600220784545,1,1,1.025143445453306,1.138774694874793
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.3223323736797774,2,0.5808488484472036,1,1,1.054103015868451,1.0898821289809548
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.3223323736797774,2,0.7910600220784545,1,1,1.0300049310759312,1.129527725077988
0.8818757515400648,0.3040382014587521,1.0658200787341086,1.3223323736797774,2,0.7910600220784545,1,1,1.0462496902527285,1.1271106461445581
0.6767774634063244,0.9322544131428004,0.0416854814482244,1.399573506831336,1,0.5808488484472036,1,1,0.36507366404127983,1.1415788928912838
0.6413969369605184,0.9545318083837628,0.3597000026864055,1.4142135623730951,3,0.5212896810844541,3,1,0.8302250272075989,1.012144120009743
0.8987595168873668,0.9545318083837628,0.3597000026864055,1.4142135623730951,3,0.5212896810844541,3,1,0.8610854375586874,1.0039966706489702
0.6413969369605184,0.6918769823387265,0.3597000026864055,1.4142135623730951,3,0.5212896810844541,3,1,0.8233618194945245,1.0056459460362566
0.6413969369605184,0.9545318083837628,0.3919663839401369,1.4142135623730951,3,0.5212896810844541,3,1,0.8737308224008316,1.0091035246349187
0.6413969369605184,0.9545318083837628,0.3597000026864055,0.8221541129215129,3,0.5212896810844541,3,1,0.8406717968067451,0.9925937392790525
0.6413969369605184,0.9545318083837628,0.3597000026864055,1.4142135623730951,2,0.5212896810844541,3,1,0.8471400785469149,1.0006011431197352
